года	год	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur
года	год	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
года	год	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
году	год	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
году	год	NOUN	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing
после		
после	посол	NOUN	Animacy=Anim|Case=Loc|Gender=Masc|Number=Sing
при	пря	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
при		
при	пря	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
при	пря	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
были	быль	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
были	быль	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
были	быль	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
были	быль	NOUN	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing
были	быль	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
время	время	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
время	время	NOUN	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
под	под	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
под	под	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
области	область	NOUN	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing
области	область	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
области	область	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
области	область	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
области	область	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
лет	лет	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
лет	лета	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
лет	лет	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
лет	год	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
год	год	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
год	год	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
человек	человек	NOUN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
человек	человек	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
состав	состав	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
состав	состав	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
состав	состав	NOUN	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing
том	том	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
том		
том	том	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
города	город	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
города	город	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur
города	город	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
войны	война	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
войны	война	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
войны	война	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
все		
все	вес	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
история	история	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
реки		
